List of Canadian Companies on U.S. Exchanges

Symbol	Name	U.S. Exchange	Cross-list symbol	Cross-list exchange	GICS Sector	Industry	Market cap	Average Volume	Action
VSQTF	Victory Square Technologies Inc	OTC markets	CF:VST	Canadian Securities Exchange	Unknown	Electronic Gaming & Multimedia	$45,803,301	132,331	Analyze
DBCCF	Decibel Cannabis Company Inc	OTC markets			Unknown	Drug Manufacturers—Specialty & Generic	$45,756,655	14,410	Analyze
KHRNF	Khiron Life Sciences Corp.	OTC markets	CV:KHRN	TSX Venture Exchange	Unknown	Drug Manufacturers—Specialty & Generic	$44,356,033	34,291	Analyze
TRBMF	Torq Resources Inc.	OTC markets	CV:TORQ	TSX Venture Exchange	Materials	Other Industrial Metals & Mining	$42,841,505	6,700	Analyze
NXOPF	Nexoptic Technology Corp	OTC markets	CV:NXO	TSX Venture Exchange	Information Technology	Electronic Components	$42,156,158	182,122	Analyze
RSASF	Resaas Services Inc.	OTC markets			Communication Services	Software—Application	$42,020,573	1,854	Analyze
CHKKF	Chakana Copper Corp.	OTC markets			Unknown	Other Precious Metals & Mining	$42,007,431	131,601	Analyze
RNSFF	Renaissance Oil Corp.	OTC markets			Energy	Oil & Gas E&P	$41,694,062	3,350	Analyze
KERMF	Kerr Mines Inc.	OTC markets			Materials	Gold	$41,527,506	74,615	Analyze
MLYF	Western Magnesium Corp.	OTC markets			Unknown	Other Industrial Metals & Mining	$41,127,337	96,422	Analyze
PGEZF	Group Ten Metals Inc.	OTC markets			Unknown	Other Industrial Metals & Mining	$40,996,554	244,900	Analyze
NSRCF	NextSource Materials Inc	OTC markets			Materials	Other Industrial Metals & Mining	$40,837,840	33,000	Analyze
VRNDF	Delta 9 Cannabis Inc.	OTC markets	CT:DN	Toronto Stock Exchange	Health Care	Drug Manufacturers—Specialty & Generic	$40,776,140	27,974	Analyze
HNCKF	Giga Metals Corporation	OTC markets			Materials	Other Industrial Metals & Mining	$40,427,185	59,100	Analyze
TNYBF	Tinley Beverage Company Inc.	OTC markets	CF:TNY	Canadian Securities Exchange	Unknown	Beverages—Wineries & Distilleries	$39,940,931	111,377	Analyze
ISRJF	GEN III Oil Corporation	OTC markets			Unknown	Oil & Gas Refining & Marketing	$39,416,901	0	Analyze
CTXXF	Cematrix Corporation	OTC markets			Materials	Building Materials	$39,307,719	0	Analyze
CLHRF	Coral Gold Resources Ltd.	OTC markets	CV:CLH	TSX Venture Exchange	Materials	Gold	$39,152,521	41,840	Analyze
TBPMF	Tetra Bio-Pharma Inc.	OTC markets	CV:TBP	TSX Venture Exchange	Health Care	Biotechnology	$38,799,133	94,915	Analyze
AZZUF	Azarga Uranium Corp. Class A	OTC markets			Energy	Uranium	$38,476,308	27,983	Analyze
KIQ	Kelso Technologies Inc	NYSE American	CT:KLS	Toronto Stock Exchange	Industrials	Railroads	$38,207,770	1,831,057	Analyze
RGCTF	Redstar Gold Corp.	OTC markets			Unknown	Gold	$37,659,913	14,899	Analyze
PLUUF	Plateau Energy Metals Inc.	OTC markets			Energy	Uranium	$37,485,556	50,204	Analyze
NVCN	Neovasc Inc.	NASDAQ Capital Market	CT:NVCN	TSX Venture Exchange	Health Care	Medical Devices	$37,318,302	2,304,388	Analyze
FTMDF	Fortune Minerals Limited	OTC markets	CT:FT	Toronto Stock Exchange	Materials	Other Industrial Metals & Mining	$36,207,860	23,375	Analyze
EMHTF	Emerald Health Therapeutics Inc.	OTC markets	CV:EMH	TSX Venture Exchange	Health Care	Drug Manufacturers—Specialty & Generic	$36,133,789	397,759	Analyze
LEMIF	Leading Edge Materials Corp.	OTC markets			Materials	Other Industrial Metals & Mining	$36,063,817	44,310	Analyze
GLBXF	Globex Mining Enterprises Inc.	OTC markets	CT:GMX	Toronto Stock Exchange	Materials	Other Industrial Metals & Mining	$35,895,883	11,900	Analyze
NORZF	NorZinc Ltd.	OTC markets			Materials	Other Industrial Metals & Mining	$35,684,244	161,294	Analyze
BEVVF	Bee Vectoring Technologies International Inc.	OTC markets			Unknown	Agricultural Inputs	$35,532,408	7,840	Analyze
GPHOF	Graphite One Inc.	OTC markets			Materials	Other Industrial Metals & Mining	$35,349,497	15,216	Analyze
CRCUF	Canarc Resource Corp.	OTC markets			Materials	Gold	$34,879,740	3,103	Analyze
TLTFF	Theralase Technologies Inc.	OTC markets			Health Care	Medical Devices	$34,726,814	35,500	Analyze
EVLLF	EnviroLeach Technologies Inc.	OTC markets			Unknown	Gold	$34,417,660	124,918	Analyze
WKLDF	West Kirkland Mining Inc.	OTC markets			Materials	Gold	$33,772,472	0	Analyze
STKXF	StrikePoint Gold Inc.	OTC markets			Unknown	Other Industrial Metals & Mining	$33,684,398	233,000	Analyze
APAAF	Appia Energy Corp.	OTC markets			Unknown	Uranium	$33,662,635	9,143	Analyze
GLDFF	Golden Leaf Holdings Ltd	OTC markets			Unknown	Drug Manufacturers—Specialty & Generic	$33,483,080	327,196	Analyze
NDVAF	Indiva Ltd.	OTC markets	CV:NDVA	TSX Venture Exchange	Unknown	Drug Manufacturers—Specialty & Generic	$33,403,610	36,678	Analyze
NSFDF	NXT Energy Solutions Inc.	OTC markets			Energy	Oil & Gas Equipment & Services	$33,185,462	45,163	Analyze
MBAIF	CIBT Education Group Inc	OTC markets	CT:MBA	Toronto Stock Exchange	Consumer Discretionary	Education & Training Services	$32,686,007	0	Analyze
ITHUF	iAnthus Capital Holdings Inc.	OTC markets	CF:IAN	Canadian Securities Exchange	Unknown	Drug Manufacturers—Specialty & Generic	$32,626,456	124,953	Analyze
AGNPF	Algernon Pharmaceuticals Inc. Class A	OTC markets			Health Care	Biotechnology	$32,180,666	397,879	Analyze
LTMCF	Lithium Chile Inc	OTC markets			Unknown	Other Industrial Metals & Mining	$31,760,766	106,526	Analyze
BMTLF	BeMetals Corp.	OTC markets			Unknown	Other Industrial Metals & Mining	$31,694,067	54,300	Analyze
SNRG	SusGlobal Energy Corp.	OTC markets			Unknown	Utilities—Renewable	$31,590,312	20,001	Analyze
RYPPF	RYU Apparel Inc	OTC markets			Consumer Discretionary	Apparel Manufacturing	$31,538,063	0	Analyze
WGMCF	Winston Gold Corp Class A	OTC markets			Unknown	Gold	$31,240,118	221,735	Analyze
AVCNF	Avicanna Inc	OTC markets	CT:AVCN	Toronto Stock Exchange	Unknown	Drug Manufacturers—Specialty & Generic	$30,996,813	200	Analyze
RNSGF	Renaissance Gold Inc.	OTC markets			Materials	Other Precious Metals & Mining	$30,643,513	162,980	Analyze
HUGE	FSD Pharma Inc. - Class B Subordinate Voting Shares	NASDAQ Capital Market	CF:HUGE	Canadian Securities Exchange	Health Care	Drug Manufacturers—Specialty & Generic	$30,475,985	861,658	Analyze
BLAGF	Blue Lagoon Resources Inc	OTC markets			Unknown	Gold	$30,357,752	38,608	Analyze
INM	InMed Pharmaceuticals Inc.	NASDAQ Capital Market	CT:IN	Toronto Stock Exchange	Health Care	Biotechnology	$30,313,061	177,427	Analyze
INTWF	Sharc International Systems Inc	OTC markets			Unknown	Pollution & Treatment Controls	$29,923,491	8,850	Analyze
ORMNF	Orex Minerals Inc.	OTC markets			Unknown	Other Industrial Metals & Mining	$29,608,891	14,420	Analyze
NCPCF	Nickel Creek Platinum Corp.	OTC markets			Materials	Other Industrial Metals & Mining	$29,547,560	81,983	Analyze
CVALF	Covalon Technologies Ltd.	OTC markets	CV:COV	TSX Venture Exchange	Health Care	Biotechnology	$29,464,274	600	Analyze
RDDTF	Radient Technologies Inc	OTC markets	CV:RTI	TSX Venture Exchange	Unknown	Drug Manufacturers—Specialty & Generic	$29,097,255	136,460	Analyze
GXSFF	GoldSource Mines Inc.	OTC markets			Unknown	Gold	$29,000,855	1,005,409	Analyze
VLMGF	Viscount Mining Corp.	OTC markets			Unknown	Other Precious Metals & Mining	$28,713,137	850	Analyze
NTGSF	Golden Predator Mining Corp. Class A	OTC markets	CV:GPY	TSX Venture Exchange	Materials	Gold	$28,589,511	596,581	Analyze
NTSFF	Nanotech Security Corp.	OTC markets	CV:NTS	TSX Venture Exchange	Industrials	Scientific & Technical Instruments	$28,453,943	48,595	Analyze
HDRSF	Highland Copper Co. Inc.	OTC markets			Materials	Copper	$28,328,728	410,100	Analyze
PSHIF	PetroShale Inc.	OTC markets	CV:PSH	TSX Venture Exchange	Energy	Oil & Gas E&P	$28,253,582	100	Analyze
FCSMF	Focus Graphite Inc.	OTC markets			Materials	Other Industrial Metals & Mining	$28,074,655	37,150	Analyze
PDPTF	PUDO Inc.	OTC markets			Industrials	Integrated Freight & Logistics	$27,895,605	0	Analyze
PLPRF	Plus Products Inc.	OTC markets	CF:PLUS	Canadian Securities Exchange	Unknown	Drug Manufacturers—Specialty & Generic	$27,700,248	21,919	Analyze
CBDY	Target Group Inc.	OTC markets			Unknown	Drug Manufacturers—Specialty & Generic	$27,517,301	22,129	Analyze
CADMF	Chemesis International Inc.	OTC markets			Unknown	Drug Manufacturers—Specialty & Generic	$27,407,081	13,960	Analyze
ROIUF	Route1 Inc.	OTC markets			Information Technology	Software—Application	$27,294,762	1,000	Analyze
CDTAF	Carl Data Solutions Inc	OTC markets			Unknown	Software—Application	$27,292,617	316	Analyze
FLURF	FluroTech Ltd.	OTC markets			Unknown	Medical Devices	$27,142,553	0	Analyze
AQARF	Aquila Resources Inc.	OTC markets			Materials	Other Industrial Metals & Mining	$27,062,764	11,000	Analyze
MMTIF	Micromem Technologies Inc.	OTC markets			Information Technology	Semiconductors	$26,777,989	22,000	Analyze
DGNOF	DIAGNOS inc.	OTC markets			Health Care	Information Technology Services	$26,250,370	1,000	Analyze
CRSXF	Corsa Coal Corp.	OTC markets	CV:CSO	TSX Venture Exchange	Materials	Coking Coal	$26,049,316	122,550	Analyze
GGTTF	GTEC Holdings Ltd.	OTC markets			Unknown	Drug Manufacturers—Specialty & Generic	$26,019,719	30,000	Analyze
CVVUF	CanAlaska Uranium Ltd.	OTC markets			Energy	Other Industrial Metals & Mining	$25,980,245	67,950	Analyze
GGLDF	Getchell Gold Corp.	OTC markets			Unknown	Other Industrial Metals & Mining	$25,935,613	64,600	Analyze
IGXT	Intelgenx Technologies Corp.	OTC markets	CV:IGX	TSX Venture Exchange	Health Care	Biotechnology	$25,628,793	166,825	Analyze
CTARF	Centaurus Energy Inc.	OTC markets	CV:CTA	TSX Venture Exchange	Energy	Oil & Gas E&P	$25,570,784	110,000	Analyze
IMLFF	InMed Pharmaceuticals Inc.	OTC markets	CT:IN	Toronto Stock Exchange	Health Care	Biotechnology	$25,477,065	37,407	Analyze
VGRBF	VGrab Communications Inc	OTC markets			Unknown	Software—Application	$25,457,825	7,800	Analyze
ARFXF	ProMIS Neurosciences Inc.	OTC markets			Health Care	Biotechnology	$25,438,361	58,419	Analyze
NSCIF	Nanalysis Scientific Corp	OTC markets	CV:NSCI	TSX Venture Exchange	Unknown	Scientific & Technical Instruments	$25,383,433	0	Analyze
CWSFF	Cielo Waste Solutions Corp.	OTC markets			Unknown	Waste Management	$25,067,083	12,000	Analyze
LVCNF	Leviathan Cannabis Group Inc.	OTC markets			Unknown	Drug Manufacturers—Specialty & Generic	$24,863,773	100	Analyze
SVBL	Silver Bull Resources Inc.	OTC markets			Materials	Other Industrial Metals & Mining	$24,778,859	42,928	Analyze
MISVF	Minco Silver Corporation	OTC markets	CT:MSV	Toronto Stock Exchange	Materials	Silver	$24,745,671	61,703	Analyze
OILFF	Nextleaf Solutions Ltd.	OTC markets			Unknown	Drug Manufacturers—Specialty & Generic	$24,744,955	52,635	Analyze
AXNVF	Axion Ventures Inc	OTC markets	CV:AXV	TSX Venture Exchange	Unknown	Electronic Gaming & Multimedia	$24,564,208	0	Analyze
SICNF	Sokoman Minerals Corp.	OTC markets			Unknown	Gold	$24,542,076	249,230	Analyze
WSCRF	North American Nickel Inc.	OTC markets			Materials	Other Industrial Metals & Mining	$23,757,018	0	Analyze
SKLV	Skye Life Ventures Ltd	OTC markets			Unknown	Drug Manufacturers—Specialty & Generic	$23,543,671	0	Analyze
PMEDF	Predictmedix Inc.	OTC markets			Unknown	Medical Devices	$23,432,682	12,565	Analyze
BRKCF	Barksdale Resources Corp.	OTC markets			Unknown	Other Industrial Metals & Mining	$23,244,310	9,010	Analyze
HYHDF	Hydro66 Holdings Corp.	OTC markets			Unknown	Software—Infrastructure	$23,190,366	114,606	Analyze
CGNSF	Cognetivity Neurosciences Ltd.	OTC markets			Unknown	Diagnostics & Research	$22,992,023	14,658	Analyze
CHOOF	Choom Holdings Inc	OTC markets			Unknown	Drug Manufacturers—Specialty & Generic	$22,979,134	171,616	Analyze
WMLLF	Wealth Minerals Ltd.	OTC markets	CV:WML	TSX Venture Exchange	Unknown	Other Industrial Metals & Mining	$22,373,734	21,700	Analyze
PLRTF	Plymouth Rock Technologies Inc.	OTC markets			Unknown	Security & Protection Services	$22,364,141	150,800	Analyze
KTGDF	K2 Gold Corporation	OTC markets			Materials	Gold	$22,325,013	62,130	Analyze
VIVXF	Avivagen Inc.	OTC markets			Unknown	Drug Manufacturers—Specialty & Generic	$22,136,092	0	Analyze
MARFF	Margaux Resources Ltd.	OTC markets			Unknown	Gold	$22,058,740	9,750	Analyze
TIGCF	Triumph Gold Corp.	OTC markets			Materials	Other Industrial Metals & Mining	$21,863,723	88,480	Analyze
PVOTF	BetterLife Pharma Inc.	OTC markets			Health Care	Drug Manufacturers—Specialty & Generic	$21,789,126	739	Analyze
CTABF	Canntab Therapeutics Ltd.	OTC markets			Unknown	Drug Manufacturers—Specialty & Generic	$21,742,366	0	Analyze
SYHBF	Skyharbour Resources Ltd.	OTC markets			Unknown	Other Industrial Metals & Mining	$21,722,716	43,858	Analyze
NGPHF	Northern Graphite Corporation	OTC markets			Materials	Other Industrial Metals & Mining	$21,487,209	28,199	Analyze
APTEF	Apteryx Imaging Inc.	OTC markets			Unknown	Health Information Services	$21,085,190	15,000	Analyze
WSTRF	Western Uranium & Vanadium Corp.	OTC markets	CF:WUC	Canadian Securities Exchange	Unknown	Uranium	$20,908,204	23,992	Analyze
TGIFF	1933 Industries Inc.	OTC markets	CF:TGIF	Canadian Securities Exchange	Unknown	Drug Manufacturers—Specialty & Generic	$20,567,047	200,195	Analyze
FVANF	First Vanadium Corp.	OTC markets	CV:FVAN	TSX Venture Exchange	Unknown	Other Industrial Metals & Mining	$20,541,086	81,755	Analyze
HSDT	Helius Medical Technologies Inc. Class A	NASDAQ Capital Market	CT:HSM	Toronto Stock Exchange	Health Care	Medical Devices	$20,333,319	252,710	Analyze
MYMMF	MYM Nutraceuticals Inc.	OTC markets			Unknown	Drug Manufacturers—Specialty & Generic	$20,284,604	34,372	Analyze
CGTFF	Columbus Gold Corporation	OTC markets	CT:CGT	Toronto Stock Exchange	Materials	Gold	$19,983,942	177,220	Analyze
PKLBF	Perk Labs Inc.	OTC markets			Unknown	Software—Infrastructure	$19,841,574	107,078	Analyze
THCBF	THC BioMed Intl. Ltd.	OTC markets	CF:THC	Canadian Securities Exchange	Health Care	Other	$19,823,581	25,974	Analyze
GPTRF	Grande Portage Resources Ltd.	OTC markets			Materials	Gold	$19,732,531	58,928	Analyze
INDXF	Indus Holdings Inc.	OTC markets	CF:INDS	Canadian Securities Exchange	Unknown	Drug Manufacturers—Specialty & Generic	$19,721,566	7,042	Analyze
BEWFF	BeWhere Holdings Inc.	OTC markets			Unknown	Communication Equipment	$19,686,921	0	Analyze
TAOIF	TAG Oil Ltd	OTC markets	CT:TAO	Toronto Stock Exchange	Energy	Oil & Gas E&P	$19,610,419	0	Analyze
MNRLF	Mineral Mountain Resources Ltd.	OTC markets			Unknown	Gold	$19,457,763	25,649	Analyze
HTPRF	HTC Purenergy Inc.	OTC markets			Materials		$19,365,868	700	Analyze
XRTXF	XORTX Therapeutics Inc.	OTC markets			Health Care	Biotechnology	$19,012,149	3,500	Analyze
BKUCF	Blue Sky Uranium Corp.	OTC markets			Energy	Uranium	$18,965,406	62,000	Analyze
SPLIF	Nutritional High International Inc.	OTC markets			Unknown	Drug Manufacturers—Specialty & Generic	$18,916,156	156,350	Analyze
BLONF	CO2 Gro Inc.	OTC markets			Industrials	Agricultural Inputs	$18,868,921	23,875	Analyze
XXMMF	Ximen Mining Corp.	OTC markets			Unknown	Gold	$18,828,004	400	Analyze
AUXXF	Allegiant Gold Ltd.	OTC markets	CV:AUAU	TSX Venture Exchange	Materials	Gold	$18,643,826	67,870	Analyze
NVDEF	Nevada Exploration Inc.	OTC markets			Unknown	Gold	$18,605,573	31,273	Analyze
GRCAF	Gold Springs Resource Corp.	OTC markets			Unknown	Gold	$18,528,507	825	Analyze
MIMNF	Mimi's Rock Corp	OTC markets			Unknown		$18,384,059	0	Analyze
NRXCF	NeutriSci International Inc	OTC markets			Consumer Staples	Drug Manufacturers—Specialty & Generic	$18,209,628	56,200	Analyze
DFMTF	Defense Metals Corp.	OTC markets			Unknown	Uranium	$18,154,304	246,100	Analyze
LXRP	Lexaria Bioscience Corp.	OTC markets	CF:LXX	Canadian Securities Exchange	Unknown	Packaged Foods	$18,154,126	693,460	Analyze
ZPAS	Zoompass Holdings Inc.	OTC markets			Information Technology	Software—Application	$18,097,646	3,009	Analyze
IPNFF	ImagineAR Inc.	OTC markets			Unknown	Software—Application	$17,643,292	8,546,214	Analyze
IPOOF	InPlay Oil Corp.	OTC markets	CT:IPO	Toronto Stock Exchange	Energy	Oil & Gas E&P	$17,323,529	200	Analyze
SGGTF	Signature Resources Ltd.	OTC markets			Unknown	Gold	$17,193,197	63,212	Analyze
GARWF	Golden Arrow Resources Corp.	OTC markets			Materials	Other Industrial Metals & Mining	$17,186,098	158,322	Analyze
CGLDF	Core Gold Inc	OTC markets	CV:CGLD	TSX Venture Exchange	Materials	Gold	$17,154,853	0	Analyze
LEXX	Lexaria Bioscience Corp.	NASDAQ Capital Market	CF:LXX	Canadian Securities Exchange	Health Care	Packaged Foods	$17,108,480	141,863	Analyze
ASDRF	Ascendant Resources Inc.	OTC markets	CT:ASND	Toronto Stock Exchange	Unknown	Other Industrial Metals & Mining	$16,930,101	124,000	Analyze
WLDFF	Wildflower Brands Inc.	OTC markets			Unknown	Drug Manufacturers—Specialty & Generic	$16,836,972	1,987	Analyze
NXXGF	Nexus Gold Corp.	OTC markets			Unknown	Gold	$16,464,762	382,378	Analyze
ZADDF	Zadar Ventures Ltd.	OTC markets			Unknown	Other Industrial Metals & Mining	$16,400,394	0	Analyze
MRBLF	Marble Financial Inc.	OTC markets			Unknown	Credit Services	$16,272,236	0	Analyze
AZZTF	Aztec Minerals Corp.	OTC markets			Unknown	Other Industrial Metals & Mining	$16,117,852	7,742	Analyze
FLYLF	FLYHT Aerospace Solutions Ltd.	OTC markets	CV:FLY	TSX Venture Exchange	Industrials	Aerospace & Defense	$15,759,205	126,915	Analyze
GFGSF	GFG Resources Inc.	OTC markets			Unknown	Gold	$15,683,561	93,566	Analyze
LMRMF	Lomiko Metals Inc.	OTC markets			Unknown	Other Industrial Metals & Mining	$15,560,533	77,339	Analyze
BICTF	Biocure Technology Inc.	OTC markets			Health Care	Biotechnology	$15,506,751	0	Analyze
RIINF	Braveheart Resources Inc.	OTC markets			Materials	Other Precious Metals & Mining	$15,370,556	363,380	Analyze
BLILF	Bearing Lithium Corp	OTC markets			Unknown	Other Industrial Metals & Mining	$15,337,338	32,100	Analyze
SMOFF	Sonoro Metals Corp.	OTC markets			Unknown	Other Precious Metals & Mining	$15,313,911	0	Analyze
REZZF	Global Battery Metals Ltd.	OTC markets			Materials	Other Industrial Metals & Mining	$15,186,897	0	Analyze
DSNY	Destiny Media Technologies Inc.	OTC markets			Communication Services	Software—Application	$15,156,351	11,000	Analyze
HRVOF	Harvest One Cannabis Inc.	OTC markets	CV:HVT	TSX Venture Exchange	Unknown	Drug Manufacturers—Specialty & Generic	$14,969,532	34,484	Analyze
NRGMF	NRG Metals Inc.	OTC markets			Unknown	Other Industrial Metals & Mining	$14,863,020	2,194	Analyze
YVR	Liquid Media Group Ltd.	NASDAQ Capital Market			Consumer Discretionary	Electronic Gaming & Multimedia	$14,433,879	611,368	Analyze
GOTRF	Goliath Resources Limited	OTC markets			Unknown	Other Precious Metals & Mining	$14,329,876	100	Analyze
EXPFF	Experion Holdings Ltd.	OTC markets			Unknown	Drug Manufacturers—Specialty & Generic	$14,308,250	0	Analyze
CVGRF	City View Green Holdings Inc.	OTC markets			Unknown	Drug Manufacturers—Specialty & Generic	$14,304,960	6,334	Analyze
WOWMF	Wow Unlimited Media Inc.	OTC markets	CV:WOW	TSX Venture Exchange	Unknown	Entertainment	$14,182,480	0	Analyze
AQSZF	Aequus Pharmaceuticals Inc.	OTC markets			Health Care	Drug Manufacturers—Specialty & Generic	$13,877,651	19,000	Analyze
ANLDF	Anfield Energy Inc	OTC markets			Energy	Uranium	$13,792,222	14,000	Analyze
RLGMF	West Red Lake Gold Mines Inc.	OTC markets			Unknown	Gold	$13,739,597	347,290	Analyze
RYES	Rise Gold Corp	OTC markets	CF:RISE	Canadian Securities Exchange	Materials	Gold	$13,655,529	1,521	Analyze
BGI	Birks Group Inc.	NYSE American			Consumer Discretionary	Luxury Goods	$13,533,843	1,731,322	Analyze
STXMF	Starrex International Ltd.	OTC markets			Unknown	Mortgage Finance	$13,516,699	0	Analyze
FISOF	Fission 3.0 Corp.	OTC markets			Energy	Other Industrial Metals & Mining	$13,304,347	25,700	Analyze
ETHOF	Ethos Gold Corp.	OTC markets			Materials	Gold	$13,284,882	83,387	Analyze
CJCFF	Quebec Precious Metals Corp.	OTC markets			Materials	Gold	$13,123,992	23,409	Analyze
MPXOF	MPX International Corp.	OTC markets	CF:MPXI	Canadian Securities Exchange	Unknown	Drug Manufacturers—Specialty & Generic	$12,791,849	12,566	Analyze
AZASF	Arizona Silver Exploration Inc.	OTC markets			Unknown	Silver	$12,753,521	0	Analyze
DCNNF	Canadian Palladium Resources Inc.	OTC markets			Unknown	Other Industrial Metals & Mining	$12,520,002	315,803	Analyze
SHVLF	Starcore International Mines Ltd.	OTC markets			Unknown	Other Industrial Metals & Mining	$12,451,430	0	Analyze
MMJFF	Matica Enterprises Inc.	OTC markets			Unknown	Drug Manufacturers—Specialty & Generic	$12,284,302	200	Analyze
NMTLF	New Age Metals Inc	OTC markets			Materials	Other Industrial Metals & Mining	$12,251,018	110,023	Analyze
SRUTF	Sproutly Canada Inc.	OTC markets			Unknown	Drug Manufacturers—Specialty & Generic	$12,240,048	311,426	Analyze
INXSF	Intouch Insight Ltd.	OTC markets			Information Technology	Software—Application	$11,776,342	113,000	Analyze
RVSDF	Riverside Resources Inc.	OTC markets			Unknown	Other Precious Metals & Mining	$11,737,826	397,737	Analyze
PRVCF	PreveCeutical Medical Inc	OTC markets			Health Care	Biotechnology	$11,565,505	2,705,826	Analyze
BIDCF	BlockchainK2 Corp.	OTC markets			Information Technology	Capital Markets	$11,502,236	3,600	Analyze
LVRLF	CordovaCann Corp.	OTC markets			Unknown	Drug Manufacturers—Specialty & Generic	$11,496,070	8,100	Analyze
GABLF	GABY Inc.	OTC markets			Unknown	Packaged Foods	$11,482,291	0	Analyze
BNKL	Bionik Laboratories Corp	OTC markets			Health Care	Medical Care Facilities	$11,220,496	1,388	Analyze
LBCMF	Libero Copper & Gold Corporation	OTC markets			Materials	Other Precious Metals & Mining	$11,142,163	424,060	Analyze
GATGF	Gatling Exploration Inc.	OTC markets	CV:GTR	TSX Venture Exchange	Unknown	Other Industrial Metals & Mining	$11,044,680	20,991	Analyze
JRNGF	Journey Energy Inc.	OTC markets	CT:JOY	Toronto Stock Exchange	Energy	Oil & Gas E&P	$11,013,490	26,500	Analyze
BKLLF	Codebase Ventures Inc.	OTC markets			Unknown	Capital Markets	$10,995,726	0	Analyze
QTRRF	Quaterra Resources Inc	OTC markets			Materials	Other Industrial Metals & Mining	$10,957,652	462,300	Analyze
SYTA	Siyata Mobile, Inc.	NASDAQ Capital Market	CV:SIM	TSX Venture Exchange	Communication Services	Communication Equipment	$10,942,592	28,127	Analyze
PTRUF	Petrus Resources Ltd.	OTC markets	CT:PRQ	Toronto Stock Exchange	Energy	Oil & Gas E&P	$10,883,259	136	Analyze
NSPDF	Naturally Splendid Enterprises Ltd.	OTC markets			Health Care	Biotechnology	$10,861,685	708	Analyze
BBRRF	Blueberries Medical Corp.	OTC markets			Unknown	Drug Manufacturers—Specialty & Generic	$10,808,677	593,307	Analyze
ULTXF	Ultra Resources Inc.	OTC markets			Unknown	Other Industrial Metals & Mining	$10,576,214	0	Analyze
NRGOF	Newrange Gold Corp.	OTC markets			Materials	Gold	$10,144,411	322,940	Analyze
MEXGF	Mexican Gold Mining Corp.	OTC markets			Unknown	Other Precious Metals & Mining	$10,096,587	264,788	Analyze
ELIXF	Elixxer Ltd.	OTC markets			Unknown	Drug Manufacturers—Specialty & Generic	$10,009,427	3,434	Analyze
BOSQF	Yield Growth Corp.	OTC markets			Unknown	Drug Manufacturers—Specialty & Generic	$9,999,150	222,453	Analyze
BIOIF	Biome Grow Inc.	OTC markets			Unknown	Drug Manufacturers—Specialty & Generic	$9,698,031	600	Analyze
PNDHF	Pond Technologies Holdings Inc.	OTC markets			Energy	Farm Products	$9,687,677	12,000	Analyze
PKSLF	Peeks Social Ltd	OTC markets			Unknown	Internet Content & Information	$9,677,670	0	Analyze
MJARF	MJardin Group Inc.	OTC markets	CF:MJAR	Canadian Securities Exchange	Unknown	Drug Manufacturers—Specialty & Generic	$9,523,727	134,472	Analyze
WCEXF	World Class Extractions Inc.	OTC markets			Unknown	Other Industrial Metals & Mining	$9,502,988	21,607	Analyze
MLRKF	Millrock Resources Inc.	OTC markets	CV:MRO	TSX Venture Exchange	Materials	Other Precious Metals & Mining	$9,396,690	430,043	Analyze
BORMF	Boreal Metals Corp.	OTC markets			Unknown	Other Industrial Metals & Mining	$9,323,761	400	Analyze
ARXRF	Infinite Ore Corp.	OTC markets			Unknown	Other Industrial Metals & Mining	$9,101,248	250	Analyze
AXREF	Amarc Resources Ltd.	OTC markets			Unknown	Other Industrial Metals & Mining	$8,975,964	12,500	Analyze
AXDDF	Azucar Minerals Ltd.	OTC markets	CV:AMZ	TSX Venture Exchange	Materials	Other Precious Metals & Mining	$8,955,461	16,006	Analyze
MWXRF	Mineworx Technologies Ltd	OTC markets			Materials	Other Industrial Metals & Mining	$8,876,040	33,000	Analyze
MTLFF	Metallis Resources Inc.	OTC markets			Materials	Other Industrial Metals & Mining	$8,856,147	37,000	Analyze
EYCCF	Eyecarrot Innovations Corp.	OTC markets			Health Care	Health Information Services	$8,747,453	10,875	Analyze
CGOTF	Citation Growth Corp	OTC markets	CF:CGRO	Canadian Securities Exchange	Unknown	Drug Manufacturers—Specialty & Generic	$8,649,040	32,211	Analyze
MGWFF	Maple Leaf Green World Inc.	OTC markets			Health Care	Drug Manufacturers—Specialty & Generic	$8,535,701	25,604	Analyze
NRIFF	Nuvo Pharmaceuticals Inc.	OTC markets	CT:NRI	Toronto Stock Exchange	Health Care	Drug Manufacturers—Specialty & Generic	$8,512,741	200	Analyze
ICOTF	iCo Therapeutics Inc.	OTC markets			Health Care	Biotechnology	$8,456,124	2,500	Analyze
TTTSF	TruTrace Technologies Inc.	OTC markets			Unknown	Software—Application	$8,386,704	52,000	Analyze
BNKPF	BNK Petroleum Inc.	OTC markets	CT:BKX	Toronto Stock Exchange	Energy	Oil & Gas E&P	$8,292,059	3,500	Analyze
OLNCF	Omni-Lite Industries Canada Inc.	OTC markets	CV:OML	TSX Venture Exchange	Industrials	Metal Fabrication	$8,228,378	5,000	Analyze
CNSNF	Constantine Metal Resources Ltd.	OTC markets	CV:CEM	TSX Venture Exchange	Unknown	Other Industrial Metals & Mining	$7,942,304	5,700	Analyze
